Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x1000,30625.94,2706.1616666666664,6,5,27,2,"Credit-Builder Loan, and Home Equity Loan",57,26,1.63,11.0,Bad,1562.91,30.07719135017377,10 Years and 9 Months,Yes,42.941090422469365,77.31427572208112,High_spent_Medium_value_payments,400.36080052211616,2023-05-01
CUS_0x1026,170614.28,14463.856666666668,2,6,9,2,"Payday Loan, and Auto Loan",0,5,0.73,3.0,Good,849.69,31.75752065713533,20 Years and 8 Months,No,208.90747938201577,184.27787149576235,High_spent_Medium_value_payments,1303.2003157888887,2023-10-01
CUS_0x103e,98690.8,8262.233333333334,4,6,9,1_,Student Loan,6,17,10.76,4.0,Good,706.96,26.860663456485163,26 Years and 11 Months,No,55.004407569291885,913.4813186573292,Low_spent_Small_value_payments,147.7376071067124,2024-12-01
CUS_0x104e,19180.87,1688.405833333333,8,4,18,4,"Debt Consolidation Loan, Auto Loan, Payday Loan, and Payday Loan",5,17,9.32,6.0,Standard,1127.57,29.46533771819808,25 Years and 2 Months,No,57.36421100960239,107.98322725525713,High_spent_Small_value_payments,263.49314506847384,2023-06-01
CUS_0x107c,49718.55_,4179.2125,7,10,27,6_,"Payday Loan, Mortgage Loan, Home Equity Loan, Payday Loan, Auto Loan, and Auto Loan",27,17,10.5,7.0,Bad,1920.25,30.10963834234661,14 Years and 0 Months,Yes,231.95678064503065,430.88393873056435,Low_spent_Small_value_payments,45.080530624405014,2023-11-01
CUS_0x10c0,49454.13,4328.1775,8,5,23,2_,"Payday Loan, and Auto Loan",59,23,4.95,8.0,Bad,1388.56,28.97842663428932,13 Years and 4 Months,NM,73.34635944957465,148.5406575943259,Low_spent_Medium_value_payments,459.07807620141364,2024-02-01
CUS_0x1123,15264.98,1266.0816666666667,6,5,34,3,"Home Equity Loan, Credit-Builder Loan, and Auto Loan",23,14,9.68,14.0,Bad,2375.88,24.094344057885515,8 Years and 10 Months,Yes,50563.0,136.95202265544256,Low_spent_Small_value_payments,242.8660473000196,2024-10-01
CUS_0x1145,17975.32,1444.9433333333334,6,5,32,9,"Student Loan, Payday Loan, Not Specified, Mortgage Loan, Home Equity Loan, Payday Loan, Payday Loan, Not Specified, and Credit-Builder Loan",61,25,8.9,13.0,Bad,1263.1,25.681798029462104,12 Years and 5 Months,Yes,76.450324587172,176.77621007546128,Low_spent_Small_value_payments,181.26779867070005,2024-08-01
CUS_0x1168,76440.52,6647.043333333334,0,4,9,2,"Mortgage Loan, and Student Loan",7,2,10.85,4.0,Good,998.47,36.402362376494544,20 Years and 9 Months,No,96.74970978904616,547.8585912822699,Low_spent_Medium_value_payments,300.0960322620174,2023-10-01
CUS_0x11e2,44986.55,3689.879166666667,6,5,11,1,Credit-Builder Loan,0,4,10.26,3.0,Good,753.21,25.58628563739529,20 Years and 0 Months,No,23.26713547724025,43.20363344633164,High_spent_Large_value_payments,542.5171477430948,2024-12-01
